"","year","lat","long","D1","D2","D3","D4_arrival","D5","D6","D7"
"135",2007,-90,44,NA,NA,NA,NA,NA,NA,NA
"136",2007,-90,42,NA,NA,NA,NA,NA,NA,NA
"137",2007,-90,40,NA,NA,NA,NA,NA,NA,NA
"138",2007,-92,44,NA,NA,NA,NA,NA,NA,NA
"139",2007,-92,42,NA,NA,NA,NA,NA,NA,NA
"140",2008,-72,42,NA,NA,NA,NA,NA,NA,NA
"141",2008,-72,40,NA,NA,NA,NA,NA,NA,NA
"142",2008,-74,44,NA,NA,NA,NA,NA,NA,NA
"143",2008,-74,42,NA,NA,NA,NA,NA,NA,NA
"144",2008,-74,40,NA,NA,NA,NA,NA,NA,NA
"145",2008,-76,44,NA,NA,NA,NA,NA,NA,NA
"146",2008,-76,42,NA,NA,NA,NA,NA,NA,NA
"147",2008,-76,40,NA,NA,NA,NA,NA,NA,NA
"148",2008,-76,38,NA,NA,NA,NA,NA,NA,NA
"149",2008,-78,42,NA,NA,NA,NA,NA,NA,NA
"150",2008,-78,40,NA,NA,NA,NA,NA,NA,NA
"151",2008,-78,38,NA,NA,NA,NA,NA,NA,NA
"152",2008,-78,36,NA,NA,NA,NA,NA,NA,NA
"153",2008,-80,38,NA,NA,NA,NA,NA,NA,NA
"154",2008,-80,36,NA,NA,NA,NA,NA,NA,NA
"155",2008,-80,34,NA,NA,NA,NA,NA,NA,NA
"156",2008,-82,40,NA,NA,NA,NA,NA,NA,NA
"157",2008,-82,36,NA,NA,NA,NA,NA,NA,NA
"158",2008,-82,34,NA,NA,NA,NA,NA,NA,NA
"159",2008,-84,42,NA,NA,NA,NA,NA,NA,NA
"160",2008,-84,40,NA,NA,NA,NA,NA,NA,NA
"161",2008,-84,38,NA,NA,NA,NA,NA,NA,NA
"162",2008,-84,36,NA,NA,NA,NA,NA,NA,NA
"163",2008,-84,34,NA,NA,NA,NA,NA,NA,NA
"164",2008,-84,32,NA,NA,NA,NA,NA,NA,NA
"165",2008,-86,38,NA,NA,NA,NA,NA,NA,NA
"166",2008,-86,36,NA,NA,NA,NA,NA,NA,NA
"167",2008,-86,34,NA,NA,NA,NA,NA,NA,NA
"168",2008,-88,44,NA,NA,NA,NA,NA,NA,NA
"169",2008,-88,42,NA,NA,NA,NA,NA,NA,NA
"170",2008,-88,40,NA,NA,NA,NA,NA,NA,NA
"171",2008,-88,38,NA,NA,NA,NA,NA,NA,NA
"172",2008,-88,36,NA,NA,NA,NA,NA,NA,NA
"173",2008,-88,34,NA,NA,NA,NA,NA,NA,NA
"174",2008,-90,44,NA,NA,NA,NA,NA,NA,NA
"175",2008,-90,42,NA,NA,NA,NA,NA,NA,NA
"176",2008,-90,40,NA,NA,NA,NA,NA,NA,NA
"177",2008,-92,42,NA,NA,NA,NA,NA,NA,NA
"178",2009,-70,44,NA,NA,NA,NA,NA,NA,NA
"179",2009,-72,42,NA,NA,NA,NA,NA,NA,NA
"180",2009,-72,40,NA,NA,NA,NA,NA,NA,NA
"181",2009,-74,44,NA,NA,NA,NA,NA,NA,NA
"182",2009,-74,42,NA,NA,NA,NA,NA,NA,NA
"183",2009,-74,40,NA,NA,NA,NA,NA,NA,NA
"184",2009,-76,44,NA,NA,NA,NA,NA,NA,NA
"185",2009,-76,42,NA,NA,NA,NA,NA,NA,NA
"186",2009,-76,40,NA,NA,NA,NA,NA,NA,NA
"187",2009,-76,38,NA,NA,NA,NA,NA,NA,NA
"188",2009,-78,44,NA,NA,NA,NA,NA,NA,NA
"189",2009,-78,42,NA,NA,NA,NA,NA,NA,NA
"190",2009,-78,40,NA,NA,NA,NA,NA,NA,NA
"191",2009,-78,38,NA,NA,NA,NA,NA,NA,NA
"192",2009,-78,36,NA,NA,NA,NA,NA,NA,NA
"193",2009,-80,42,NA,NA,NA,NA,NA,NA,NA
"194",2009,-80,40,NA,NA,NA,NA,NA,NA,NA
"195",2009,-80,38,NA,NA,NA,NA,NA,NA,NA
